time_utc,date_utc,hour_utc,split,source_file,pv_raw_kw,pv_clean_kw,wind_raw_kw,wind_clean_kw,load_kw,critical_load_kw,noncritical_load_kw,spot_price_nok_per_kwh,buy_price_nok_per_kwh,sell_price_nok_per_kwh
2020-11-01 00:00:00,2020-11-01,0,oos,train,0.0,0.0,164.04,164.04,15.089579999999998,4.9795614,10.110018599999998,0.0476199999999999,0.0976199999999999,0.07809599999999993
2020-11-01 01:00:00,2020-11-01,1,oos,train,0.0,0.0,130.86,130.86,20.59540444,6.7964834652,13.798920974799998,0.0390499999999999,0.08904999999999991,0.07123999999999993
2020-11-01 02:00:00,2020-11-01,2,oos,train,0.0,0.0,89.43,89.43,20.88301111,6.891393666300001,13.9916174437,0.03939,0.08939,0.071512
2020-11-01 03:00:00,2020-11-01,3,oos,train,0.0,0.0,67.13,67.13,19.82614444,6.5426276652,13.283516774799999,0.04395,0.09395,0.07516
2020-11-01 04:00:00,2020-11-01,4,oos,train,0.0,0.0,120.34,120.34,16.04989667,5.2964659010999995,10.753430768899998,0.0487299999999999,0.0987299999999999,0.07898399999999993
2020-11-01 05:00:00,2020-11-01,5,oos,train,0.0,0.0,180.87,180.87,19.09098889,6.3000263337,12.790962556299998,0.05074,0.10074,0.080592
2020-11-01 06:00:00,2020-11-01,6,oos,train,0.0,0.0,137.95,137.95,18.12788222,5.9822011326,12.145681087399998,0.05363,0.10363,0.082904
2020-11-01 07:00:00,2020-11-01,7,oos,train,0.149,0.149,184.64,184.64,22.43251556,7.4027301348,15.029785425199998,0.06943,0.11943000000000001,0.09554400000000002
2020-11-01 08:00:00,2020-11-01,8,oos,train,1.4989167,1.4989167,144.83,144.83,23.54931111,7.771272666300001,15.7780384437,0.07822,0.12822,0.102576
2020-11-01 09:00:00,2020-11-01,9,oos,train,2.3552499,2.3552499,64.82,64.82,27.18836667,8.9721610011,18.2162056689,0.08757,0.13757,0.110056
2020-11-01 10:00:00,2020-11-01,10,oos,train,6.3439167,6.3439167,49.81,49.81,21.50150222,7.0954957326,14.406006487399997,0.08523,0.13523000000000002,0.10818400000000002
2020-11-01 11:00:00,2020-11-01,11,oos,train,4.8768332,4.8768332,50.14,50.14,15.68743778,5.1768544674,10.510583312599998,0.07755,0.12755,0.10204
2020-11-01 12:00:00,2020-11-01,12,oos,train,2.36475,2.36475,70.74,70.74,18.3961,6.0707130000000005,12.325387,0.07299,0.12299,0.09839200000000001
2020-11-01 13:00:00,2020-11-01,13,oos,train,0.6966667,0.6966667,57.06,57.06,19.98424889,6.5948021337,13.389446756299998,0.06921,0.11921,0.09536800000000001
2020-11-01 14:00:00,2020-11-01,14,oos,train,0.0014167,0.0014167,45.63,45.63,21.41987556,7.0685589348,14.351316625199999,0.0757699999999999,0.1257699999999999,0.10061599999999993
2020-11-01 15:00:00,2020-11-01,15,oos,train,0.0,0.0,62.49,62.49,22.31372444,7.363529065200001,14.9501953748,0.08734,0.13734000000000002,0.10987200000000003
