time_utc	date_utc	hour_utc	split	source_file	pv_raw_kw	pv_clean_kw	wind_raw_kw	wind_clean_kw	load_kw	critical_load_kw	noncritical_load_kw	spot_price_nok_per_kwh	buy_price_nok_per_kwh	sell_price_nok_per_kwh
1/2/2020 0:00	1/2/2020	0	development	train	0	0	21.06	21.06	13.06596	4.3117668	8.7541932	0.12897	0.17897	0.143176
1/2/2020 1:00	1/2/2020	1	development	train	0	0	13.21	13.21	13.91483	4.5918939	9.3229361	0.18732	0.23732	0.189856
1/2/2020 2:00	1/2/2020	2	development	train	0	0	12.45	12.45	14.09472444	4.651259065	9.443465375	0.20746	0.25746	0.205968
1/2/2020 3:00	1/2/2020	3	development	train	0	0	9.24	9.24	14.12158111	4.660121766	9.461459344	0.2386	0.2886	0.23088
1/2/2020 4:00	1/2/2020	4	development	train	0	0	4.82	4.82	13.45286222	4.439444533	9.013417687	0.25804	0.30804	0.246432
1/2/2020 5:00	1/2/2020	5	development	train	0	0	16.07	16.07	12.23060667	4.036100201	8.194506469	0.27248	0.32248	0.257984
1/2/2020 6:00	1/2/2020	6	development	train	0	0	3.28	3.28	13.14819	4.3389027	8.8092873	0.27887	0.32887	0.263096
1/2/2020 7:00	1/2/2020	7	development	train	0	0	13	13	22.48820444	7.421107465	15.06709697	0.2885	0.3385	0.2708
1/2/2020 8:00	1/2/2020	8	development	train	0	0	28.21	28.21	18.85918889	6.223532334	12.63565656	0.29419	0.34419	0.275352
1/2/2020 9:00	1/2/2020	9	development	train	0	0	17.66	17.66	20.74766667	6.846730001	13.90093667	0.2938	0.3438	0.27504
1/2/2020 10:00	1/2/2020	10	development	train	0	0	4.1	4.1	20.33082222	6.709171333	13.62165089	0.29429	0.34429	0.275432
1/2/2020 11:00	1/2/2020	11	development	train	0	0	0.1	0.1	14.92799	4.9262367	10.0017533	0.29409	0.34409	0.275272
1/2/2020 12:00	1/2/2020	12	development	train	0	0	-0.27	0	20.86298	6.8847834	13.9781966	0.29409	0.34409	0.275272
1/2/2020 13:00	1/2/2020	13	development	train	0	0	-0.28	0	17.38338111	5.736515766	11.64686534	0.29645	0.34645	0.27716
1/2/2020 14:00	1/2/2020	14	development	train	0	0	-0.28	0	22.34846667	7.374994001	14.97347267	0.30411	0.35411	0.283288
1/2/2020 15:00	1/2/2020	15	development	train	0	0	4.91	4.91	22.97504444	7.581764665	15.39327977	0.30647	0.35647	0.285176
1/2/2020 16:00	1/2/2020	16	development	train	0	0	-0.31	0	18.67262889	6.161967534	12.51066136	0.30431	0.35431	0.283448
1/2/2020 17:00	1/2/2020	17	development	train	0	0	-0.36	0	14.09666	4.6518978	9.4447622	0.29812	0.34812	0.278496
1/2/2020 18:00	1/2/2020	18	development	train	0	0	-0.32	0	21.34411556	7.043558135	14.30055743	0.28751	0.33751	0.270008
1/2/2020 19:00	1/2/2020	19	development	train	0	0	17.44	17.44	50.75179111	16.74809107	34.00370004	0.27671	0.32671	0.261368
1/2/2020 20:00	1/2/2020	20	development	train	0	0	50.38	50.38	24.26989556	8.009065535	16.26083003	0.27523	0.32523	0.260184
1/2/2020 21:00	1/2/2020	21	development	train	0	0	5.4	5.4	18.65073778	6.154743467	12.49599431	0.27199	0.32199	0.257592
1/2/2020 22:00	1/2/2020	22	development	train	0	0	-0.26	0	18.94588889	6.252143334	12.69374556	0.23958	0.28958	0.231664
